date;cultural_venues;gastronomy;essential_retail;non-essential_retail;major_events;events_and_gatherings;public_gatherings;tourism;traveling;school_facilities;university_facilities;sport_facilities;medical_facilities;mouth_and_nose_covering;new_infections;traceability_no;traceability_yes;curfew_no;curfew_yes
2020-01-29;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-30;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-31;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-02;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-03;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-04;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-05;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-06;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-07;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-08;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-09;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-10;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-15;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-17;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-18;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-19;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-20;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-23;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-24;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-26;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-27;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0
2020-02-28;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-02-29;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;0;1;0
2020-03-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;0;1;0
2020-03-02;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0
2020-03-03;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;0;1;0
2020-03-04;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;0;1;0
2020-03-05;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;0;1;0
2020-03-06;1;1;1;1;1;1;1;1;1;1;1;1;1;1;10;1;0;1;0
2020-03-07;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0
2020-03-08;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;0;1;0
2020-03-09;1;1;1;1;1;1;1;1;1;1;1;1;1;1;10;1;0;1;0
2020-03-10;1;1;1;1;1;1;1;1;1;1;1;1;1;1;10;1;0;1;0
2020-03-11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;8;1;0;1;0
2020-03-12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;40;1;0;1;0
2020-03-13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;48;1;0;1;0
2020-03-14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;89;1;0;1;0
2020-03-15;1;1;1;1;1;1;1;1;1;1;1;1;1;1;35;1;0;1;0
2020-03-16;5;4;2;5;3;5;5;4;2;4;5;4;3;1;45;1;0;1;0
2020-03-17;5;4;2;5;3;5;5;4;2;4;5;4;3;1;100;1;0;1;0
2020-03-18;5;4;2;5;3;5;5;4;2;4;5;4;3;1;90;1;0;1;0
2020-03-19;5;4;2;5;3;5;5;4;2;4;5;4;3;1;105;1;0;1;0
2020-03-20;5;4;2;5;3;5;5;4;2;4;5;4;3;1;99;1;0;1;0
2020-03-21;5;4;2;5;3;5;5;4;2;4;5;4;3;1;60;1;0;1;0
2020-03-22;5;4;2;5;3;5;5;4;2;4;5;4;3;1;47;1;0;1;0
2020-03-23;5;4;2;5;3;5;5;4;2;4;5;4;3;1;48;1;0;1;0
2020-03-24;5;4;2;5;3;5;5;4;2;4;5;4;3;1;87;1;0;1;0
2020-03-25;5;4;2;5;3;5;5;4;2;4;5;4;3;1;77;1;0;1;0
2020-03-26;5;4;2;5;3;5;5;4;2;4;5;4;3;1;60;1;0;1;0
2020-03-27;5;4;2;5;3;5;5;4;2;4;5;4;3;1;83;1;0;1;0
2020-03-28;5;4;2;5;3;5;5;4;2;4;5;4;3;1;80;1;0;1;0
2020-03-29;5;4;2;5;3;5;5;4;2;4;5;4;3;1;56;1;0;1;0
2020-03-30;5;4;2;5;3;5;5;4;2;4;5;4;3;1;64;1;0;1;0
2020-03-31;5;4;2;5;3;5;5;4;2;4;5;4;3;1;89;1;0;1;0
2020-04-01;5;4;2;5;3;5;5;4;2;4;5;4;3;1;122;1;0;1;0
2020-04-02;5;4;2;5;3;5;5;4;2;4;5;4;3;1;70;1;0;1;0
2020-04-03;5;4;2;5;3;5;5;4;2;4;5;4;3;1;50;1;0;1;0
2020-04-04;5;4;2;5;3;5;5;4;2;4;5;4;3;1;19;1;0;1;0
2020-04-05;5;4;2;5;3;5;5;4;2;4;5;4;3;1;25;1;0;1;0
2020-04-06;5;4;2;5;3;5;5;4;2;4;5;4;3;1;40;1;0;1;0
2020-04-07;5;4;2;5;3;5;5;4;2;4;5;4;3;1;54;1;0;1;0
2020-04-08;5;4;2;5;3;5;5;4;2;4;5;4;3;1;68;1;0;1;0
2020-04-09;5;4;2;5;3;5;5;4;2;4;5;4;3;1;45;1;0;1;0
2020-04-10;5;4;2;5;3;5;5;4;5;4;5;4;3;1;29;1;0;1;0
2020-04-11;5;4;2;5;3;5;5;4;5;4;5;4;3;1;22;1;0;1;0
2020-04-12;5;4;2;5;3;5;5;4;5;4;5;4;3;1;30;1;0;1;0
2020-04-13;5;4;2;5;3;5;5;4;5;4;5;4;3;1;7;1;0;1;0
2020-04-14;5;4;2;5;3;5;5;4;5;4;5;4;3;1;17;1;0;1;0
2020-04-15;5;4;2;5;3;5;5;4;5;4;5;4;3;1;24;1;0;1;0
2020-04-16;5;4;2;5;3;5;5;4;5;4;5;4;3;1;27;1;0;1;0
2020-04-17;5;4;2;5;3;5;5;4;5;4;5;4;3;1;27;1;0;1;0
2020-04-18;5;4;2;5;3;5;5;4;5;4;5;4;3;1;8;1;0;1;0
2020-04-19;5;4;2;5;3;5;5;4;5;4;5;4;3;1;5;1;0;1;0
2020-04-20;5;4;2;5;3;5;5;4;2;4;5;4;3;1;7;1;0;1;0
2020-04-21;5;4;2;5;3;5;5;4;2;4;5;4;3;1;15;1;0;1;0
2020-04-22;5;4;2;5;3;5;5;4;2;4;5;4;3;1;20;1;0;1;0
2020-04-23;5;4;2;5;3;5;5;4;2;4;5;4;3;1;14;1;0;1;0
2020-04-24;5;4;2;5;3;5;5;4;2;4;5;4;3;1;11;1;0;1;0
2020-04-25;5;4;2;5;3;5;5;4;2;4;5;4;3;1;15;1;0;1;0
2020-04-26;5;4;2;5;3;5;5;4;2;4;5;4;3;1;7;1;0;1;0
2020-04-27;5;4;2;5;3;5;5;4;2;4;5;4;3;1;4;1;0;1;0
2020-04-28;5;4;2;5;3;5;5;4;2;4;5;4;3;1;9;1;0;1;0
2020-04-29;5;4;2;5;3;5;5;4;2;4;5;4;3;1;13;1;0;1;0
2020-04-30;5;4;2;5;3;5;5;4;2;4;5;4;3;1;18;1;0;1;0
2020-05-01;5;4;2;5;3;5;5;4;2;4;5;4;3;1;18;1;0;1;0
2020-05-02;5;4;2;5;3;5;5;4;2;4;5;4;3;1;7;1;0;1;0
2020-05-03;5;4;2;5;3;5;5;4;2;4;5;4;3;1;4;1;0;1;0
2020-05-04;5;4;2;5;3;5;5;4;2;4;2;4;3;1;3;1;0;1;0
2020-05-05;5;4;2;5;3;5;5;4;2;4;2;4;3;1;18;1;0;1;0
2020-05-06;5;4;2;5;3;5;5;4;2;4;2;4;3;1;8;1;0;1;0
2020-05-07;5;4;2;5;3;5;5;4;5;4;2;4;3;1;11;1;0;1;0
2020-05-08;5;4;2;5;3;5;5;4;5;4;2;4;3;1;15;1;0;1;0
2020-05-09;5;4;2;5;3;5;5;4;5;4;2;4;3;1;3;1;0;1;0
2020-05-10;5;4;2;5;3;5;5;4;5;4;2;4;3;1;1;1;0;1;0
2020-05-11;3;2;2;2;3;4;4;4;5;2;2;2;2;1;0;1;0;1;0
2020-05-12;3;2;2;2;3;4;4;4;5;2;2;2;2;1;11;1;0;1;0
2020-05-13;3;2;2;2;3;4;4;4;5;2;2;2;2;1;9;1;0;1;0
2020-05-14;3;2;2;2;3;4;4;4;5;2;2;2;2;1;5;1;0;1;0
2020-05-15;3;2;2;2;3;4;4;4;5;2;2;2;2;1;8;1;0;1;0
2020-05-16;3;2;2;2;3;4;4;4;5;2;2;2;2;1;3;1;0;1;0
2020-05-17;3;2;2;2;3;4;4;4;5;2;2;2;2;1;10;1;0;1;0
2020-05-18;3;2;2;2;3;4;4;4;5;2;2;2;2;1;3;1;0;1;0
2020-05-19;3;2;2;2;3;4;4;4;5;2;2;2;2;1;6;1;0;1;0
2020-05-20;3;2;2;2;3;4;4;4;5;2;2;2;2;1;3;1;0;1;0
2020-05-21;3;2;2;2;3;4;4;4;5;2;2;2;2;1;5;1;0;1;0
2020-05-22;3;2;2;2;3;4;4;4;5;2;2;2;2;1;1;1;0;1;0
2020-05-23;3;2;2;2;3;4;4;4;5;2;2;2;2;1;8;1;0;1;0
2020-05-24;3;2;2;2;3;4;4;4;5;2;2;2;2;1;0;1;0;1;0
2020-05-25;3;2;2;2;3;4;4;4;5;2;2;2;2;1;3;1;0;1;0
2020-05-26;3;2;2;2;3;4;4;4;5;2;2;2;2;1;4;1;0;1;0
2020-05-27;3;2;2;2;3;4;4;4;5;2;2;2;2;1;6;1;0;1;0
2020-05-28;3;2;2;2;3;4;4;4;5;2;2;2;2;1;5;1;0;1;0
2020-05-29;3;2;2;2;3;4;4;4;5;2;2;2;2;1;7;1;0;1;0
2020-05-30;3;2;2;2;3;4;4;3;5;2;2;2;2;1;0;0;1;1;0
2020-05-31;3;2;2;2;3;4;4;3;5;2;2;2;2;1;1;0;1;1;0
2020-06-01;3;2;2;2;3;4;4;3;5;2;2;2;2;1;0;0;1;1;0
2020-06-02;3;2;2;2;3;4;4;3;5;2;2;2;2;1;1;0;1;1;0
2020-06-03;3;2;2;2;3;4;4;3;5;2;2;2;2;1;3;0;1;1;0
2020-06-04;3;2;2;2;3;4;4;3;5;2;2;2;2;1;6;0;1;1;0
2020-06-05;3;2;2;2;3;4;4;3;5;2;2;2;2;1;7;0;1;1;0
2020-06-06;3;2;2;2;3;4;4;3;5;2;2;2;2;1;8;0;1;1;0
2020-06-07;3;2;2;2;3;4;4;3;5;2;2;2;2;1;2;0;1;1;0
2020-06-08;3;2;2;2;3;4;4;3;5;2;2;2;2;1;0;0;1;1;0
2020-06-09;3;2;2;2;3;4;4;3;5;2;2;2;2;1;5;0;1;1;0
2020-06-10;3;2;2;2;3;4;4;3;5;2;2;2;2;1;10;0;1;1;0
2020-06-11;3;2;2;2;3;4;4;3;5;2;2;2;2;1;6;0;1;1;0
2020-06-12;3;2;2;2;3;4;4;3;5;2;2;2;2;1;2;0;1;1;0
2020-06-13;3;2;2;2;3;4;4;3;5;2;2;2;2;1;6;0;1;1;0
2020-06-14;3;2;2;2;3;4;4;3;5;2;2;2;2;1;7;0;1;1;0
2020-06-15;3;2;2;2;3;4;4;3;5;2;2;2;2;1;5;0;1;1;0
2020-06-16;3;2;2;2;3;4;4;3;5;2;2;2;2;1;1;0;1;1;0
2020-06-17;3;2;2;2;3;4;4;3;5;2;2;2;2;1;6;0;1;1;0
2020-06-18;3;2;2;2;3;4;4;3;5;2;2;2;2;1;6;0;1;1;0
2020-06-19;3;2;2;2;3;4;4;3;5;2;2;2;2;1;7;0;1;1;0
2020-06-20;3;2;2;2;3;4;4;3;5;2;2;2;2;1;12;0;1;1;0
2020-06-21;3;2;2;2;3;4;4;3;5;2;2;2;2;1;2;0;1;1;0
2020-06-22;3;2;2;2;3;4;4;3;5;2;2;2;2;1;2;0;1;1;0
2020-06-23;3;2;2;2;3;4;4;3;5;2;2;2;2;1;2;0;1;1;0
2020-06-24;3;2;2;2;3;4;4;3;5;2;2;2;2;1;4;0;1;1;0
2020-06-25;3;2;2;2;3;4;4;3;5;2;2;2;2;1;6;0;1;1;0
2020-06-26;3;2;2;2;3;4;4;3;5;2;2;2;2;1;5;0;1;1;0
2020-06-27;3;2;2;2;3;4;4;3;5;2;2;2;2;1;0;0;1;1;0
2020-06-28;3;2;2;2;3;4;4;3;5;2;2;2;2;1;0;0;1;1;0
2020-06-29;3;2;2;2;3;4;4;3;5;2;2;2;2;1;2;0;1;1;0
2020-06-30;3;2;2;2;3;4;4;3;5;2;2;2;2;1;8;0;1;1;0
2020-07-01;3;2;2;2;3;4;4;3;5;2;2;2;2;1;4;0;1;1;0
2020-07-02;3;2;2;2;3;4;4;3;5;2;2;2;2;1;3;0;1;1;0
2020-07-03;3;2;2;2;3;4;4;3;5;2;2;2;2;1;6;0;1;1;0
2020-07-04;3;2;2;2;3;4;4;3;5;2;2;2;2;1;3;0;1;1;0
2020-07-05;3;2;2;2;3;4;4;3;5;2;2;2;2;1;1;0;1;1;0
2020-07-06;3;2;2;2;3;4;4;3;5;2;2;2;2;1;4;0;1;1;0
2020-07-07;3;2;2;2;3;4;4;3;5;2;2;2;2;1;11;0;1;1;0
2020-07-08;3;2;2;2;3;4;4;3;5;2;2;2;2;1;6;0;1;1;0
2020-07-09;3;2;2;2;3;4;4;3;5;2;2;2;2;1;19;0;1;1;0
2020-07-10;3;2;2;2;3;4;4;3;5;2;2;2;2;1;18;0;1;1;0
2020-07-11;3;2;2;2;3;4;4;3;5;2;2;2;2;1;9;0;1;1;0
2020-07-12;3;2;2;2;3;4;4;3;5;2;2;2;2;1;5;0;1;1;0
2020-07-13;3;2;2;2;3;4;4;3;5;2;2;2;2;1;6;0;1;1;0
2020-07-14;3;2;2;2;3;4;4;3;5;2;2;2;2;1;18;0;1;1;0
2020-07-15;3;2;2;2;3;4;4;3;5;2;2;2;2;1;28;0;1;1;0
2020-07-16;3;2;2;2;3;4;4;3;5;2;2;2;2;1;17;0;1;1;0
2020-07-17;3;2;2;2;3;4;4;3;5;2;2;2;2;1;22;0;1;1;0
2020-07-18;3;2;2;2;3;4;4;3;5;2;2;2;2;1;18;0;1;1;0
2020-07-19;3;2;2;2;3;4;4;3;5;2;2;2;2;1;3;0;1;1;0
2020-07-20;3;2;2;2;3;4;4;3;5;2;2;2;2;1;15;0;1;1;0
2020-07-21;3;2;2;2;3;4;4;3;5;2;2;2;2;1;12;0;1;1;0
2020-07-22;3;2;2;2;3;4;4;3;5;2;2;2;2;1;19;0;1;1;0
2020-07-23;3;2;2;2;3;4;4;3;5;2;2;2;2;1;12;0;1;1;0
2020-07-24;3;2;2;2;3;4;4;3;5;2;2;2;2;1;14;0;1;1;0
2020-07-25;3;2;2;2;3;4;4;3;5;2;2;2;2;1;19;0;1;1;0
2020-07-26;3;2;2;2;3;4;4;3;5;2;2;2;2;1;3;0;1;1;0
2020-07-27;3;2;2;2;3;4;4;3;5;2;2;2;2;1;8;0;1;1;0
2020-07-28;3;2;2;2;3;4;4;3;5;2;2;2;2;1;16;0;1;1;0
2020-07-29;3;2;2;2;3;4;4;3;5;2;2;2;2;1;18;0;1;1;0
2020-07-30;3;2;2;2;3;4;4;3;5;2;2;2;2;1;20;0;1;1;0
2020-07-31;3;2;2;2;3;4;4;3;5;2;2;2;2;1;13;0;1;1;0
2020-08-01;3;2;2;2;3;4;4;3;5;2;2;2;2;1;13;0;1;1;0
2020-08-02;3;2;2;2;3;4;4;3;5;2;2;2;2;1;22;0;1;1;0
2020-08-03;3;2;2;2;3;4;4;3;5;2;2;2;2;1;16;0;1;1;0
2020-08-04;3;2;2;2;3;4;4;3;5;2;2;2;2;1;22;0;1;1;0
2020-08-05;3;2;2;2;3;4;4;3;5;2;2;2;2;1;33;0;1;1;0
2020-08-06;3;2;2;2;3;4;4;3;5;2;2;2;2;1;9;0;1;1;0
2020-08-07;3;2;2;2;3;4;4;3;5;2;2;2;2;1;20;0;1;1;0
2020-08-08;3;2;2;2;3;4;4;3;5;2;2;2;2;1;21;0;1;1;0
2020-08-09;3;2;2;2;3;4;4;3;5;2;2;2;2;1;20;0;1;1;0
2020-08-10;3;2;2;2;3;4;4;3;5;2;2;2;2;1;21;0;1;1;0
2020-08-11;3;2;2;2;3;4;4;3;5;2;2;2;2;1;27;0;1;1;0
2020-08-12;2;2;2;2;3;2;4;3;5;2;2;2;2;2;32;0;1;1;0
2020-08-13;2;2;2;2;3;2;4;3;5;2;2;2;2;2;33;0;1;1;0
2020-08-14;2;2;2;2;3;2;4;3;5;2;2;2;2;2;31;0;1;1;0
2020-08-15;2;2;2;2;3;2;4;3;5;2;2;2;2;2;24;0;1;1;0
2020-08-16;2;2;2;2;3;2;4;3;5;2;2;2;2;2;13;0;1;1;0
2020-08-17;2;2;2;2;3;2;4;3;5;2;2;2;2;2;25;0;1;1;0
2020-08-18;2;2;2;2;3;2;4;3;5;2;2;2;2;2;25;0;1;1;0
2020-08-19;2;2;2;2;3;2;4;3;5;2;2;2;2;2;32;0;1;1;0
2020-08-20;2;2;2;2;3;2;4;3;5;2;2;2;2;2;23;0;1;1;0
2020-08-21;2;2;2;2;3;2;4;3;5;2;2;2;2;2;23;0;1;1;0
2020-08-22;2;2;2;2;3;2;4;3;5;2;2;2;2;2;11;0;1;1;0
2020-08-23;2;2;2;2;3;2;4;3;5;2;2;2;2;2;25;0;1;1;0
2020-08-24;2;2;2;2;3;2;4;3;5;2;2;2;2;2;25;0;1;1;0
2020-08-25;2;2;2;2;3;2;4;3;5;2;2;2;2;2;16;0;1;1;0
2020-08-26;2;2;2;2;3;2;4;3;5;2;2;2;2;2;24;0;1;1;0
2020-08-27;2;2;2;2;3;2;4;3;5;2;2;2;2;2;34;0;1;1;0
2020-08-28;2;2;2;2;3;2;4;3;5;2;2;2;2;2;37;0;1;1;0
2020-08-29;2;2;2;2;3;2;4;3;5;2;2;2;2;2;9;0;1;1;0
2020-08-30;2;2;2;2;3;2;4;3;5;2;2;2;2;2;33;0;1;1;0
2020-08-31;2;2;2;2;3;2;4;3;5;2;2;2;2;2;26;0;1;1;0
2020-09-01;2;2;2;2;3;2;4;2;5;2;2;2;2;2;20;0;1;1;0
2020-09-02;2;2;2;2;3;2;4;2;5;2;2;2;2;2;27;0;1;1;0
2020-09-03;2;2;2;2;3;2;4;2;5;2;2;2;2;2;44;0;1;1;0
2020-09-04;2;2;2;2;3;2;4;2;5;2;2;2;2;2;30;0;1;1;0
2020-09-05;2;2;2;2;3;2;4;2;5;2;2;2;2;2;21;0;1;1;0
2020-09-06;2;2;2;2;3;2;4;2;5;2;2;2;2;2;13;0;1;1;0
2020-09-07;2;2;2;2;3;2;4;2;5;2;2;2;2;2;14;0;1;1;0
2020-09-08;2;2;2;2;3;2;4;2;5;2;2;2;2;2;40;0;1;1;0
2020-09-09;2;2;2;2;3;2;4;2;5;2;2;2;2;2;54;0;1;1;0
2020-09-10;2;2;2;2;3;2;4;2;5;2;2;2;2;2;32;0;1;1;0
2020-09-11;2;2;2;2;3;2;4;2;5;2;2;2;2;2;58;0;1;1;0
2020-09-12;2;2;2;2;3;2;4;2;5;2;2;2;2;2;50;0;1;1;0
2020-09-13;2;2;2;2;3;2;4;2;5;2;2;2;2;2;41;0;1;1;0
2020-09-14;2;2;2;2;3;2;4;2;5;2;2;2;2;2;29;0;1;1;0
2020-09-15;2;2;2;2;3;2;4;2;5;2;2;2;2;2;62;0;1;1;0
2020-09-16;2;2;2;2;3;2;4;2;5;2;2;2;2;2;68;0;1;1;0
2020-09-17;2;2;2;2;3;2;4;2;5;2;2;2;2;2;77;0;1;1;0
2020-09-18;2;2;2;2;3;2;4;2;5;2;2;2;2;2;75;0;1;1;0
2020-09-19;2;2;2;2;3;2;4;2;5;2;2;2;2;2;28;0;1;1;0
2020-09-20;2;2;2;2;3;2;4;2;5;2;2;2;2;2;44;0;1;1;0
2020-09-21;2;2;2;2;3;2;4;2;5;2;2;2;2;2;44;0;1;1;0
2020-09-22;2;2;2;2;3;2;4;2;5;2;2;2;2;2;39;0;1;1;0
2020-09-23;2;2;2;2;3;2;4;2;5;2;2;2;2;2;52;0;1;1;0
2020-09-24;2;2;2;2;3;2;4;2;5;2;2;2;2;2;83;0;1;1;0
2020-09-25;2;2;2;2;3;2;4;2;5;2;2;2;2;2;82;0;1;1;0
2020-09-26;2;2;2;2;3;2;4;2;5;2;2;2;2;2;44;0;1;1;0
2020-09-27;2;2;2;2;3;2;4;2;5;2;2;2;2;2;35;0;1;1;0
2020-09-28;2;2;2;2;3;2;4;2;5;2;2;2;2;2;50;0;1;1;0
2020-09-29;2;2;2;2;3;2;4;2;5;2;2;2;2;2;64;0;1;1;0
2020-09-30;2;2;2;2;3;2;4;2;5;2;2;2;2;2;79;0;1;1;0
2020-10-01;2;2;2;2;3;2;4;2;5;2;2;2;2;2;88;0;1;1;0
2020-10-02;2;2;2;2;3;2;4;2;5;2;2;2;2;2;58;0;1;1;0
2020-10-03;2;2;2;2;3;2;4;2;5;2;2;2;2;2;62;0;1;1;0
2020-10-04;2;2;2;2;3;2;4;2;5;2;2;2;2;2;40;0;1;1;0
2020-10-05;2;2;2;2;3;2;4;2;5;2;2;2;2;2;60;0;1;1;0
2020-10-06;2;2;2;2;3;2;4;2;5;2;2;2;2;2;80;0;1;1;0
2020-10-07;2;2;2;2;3;2;4;2;5;2;2;2;2;2;151;0;1;1;0
2020-10-08;2;2;2;2;3;2;4;2;5;2;2;2;2;2;139;0;1;1;0
2020-10-09;2;2;2;2;3;2;4;2;5;2;2;2;2;2;123;0;1;1;0
2020-10-10;2;2;2;2;3;2;4;2;5;2;2;2;2;2;97;0;1;1;0
2020-10-11;2;2;2;2;3;2;4;2;5;2;2;2;2;2;95;0;1;1;0
2020-10-12;2;2;2;2;3;2;4;2;5;2;2;2;2;2;83;0;1;1;0
2020-10-13;2;2;2;2;3;2;4;2;5;2;2;2;2;2;131;0;1;1;0
2020-10-14;2;2;2;2;3;2;4;2;5;2;2;2;2;2;180;0;1;1;0
2020-10-15;2;2;2;2;3;2;4;2;5;2;2;2;2;2;204;0;1;1;0
2020-10-16;2;2;2;2;3;2;4;2;5;2;2;2;2;2;160;0;1;1;0
2020-10-17;2;2;2;2;3;2;4;2;5;2;2;2;2;2;164;0;1;1;0
2020-10-18;2;2;2;2;3;2;4;2;5;2;2;2;2;2;164;0;1;1;0
2020-10-19;2;2;2;2;3;2;4;2;5;2;2;2;2;2;149;0;1;1;0
2020-10-20;2;2;2;2;3;2;4;2;5;2;2;2;2;2;250;0;1;1;0
2020-10-21;2;2;2;2;3;2;4;2;5;2;2;2;2;2;320;0;1;1;0
2020-10-22;2;2;2;2;3;2;4;2;5;2;2;2;2;2;365;0;1;1;0
2020-10-23;2;2;2;2;3;2;4;2;5;2;2;2;2;2;379;0;1;1;0
2020-10-24;2;2;2;2;3;2;4;2;5;2;2;2;2;2;303;0;1;1;0
2020-10-25;2;2;2;2;3;2;4;2;5;2;2;2;2;2;271;0;1;1;0
2020-10-26;2;2;2;2;3;2;4;2;5;2;2;2;2;2;212;0;1;1;0
2020-10-27;2;2;2;2;3;2;4;2;5;2;2;2;2;2;436;0;1;1;0
2020-10-28;2;2;2;2;3;2;4;2;5;2;2;2;2;2;419;0;1;1;0
2020-10-29;2;2;2;2;3;2;4;2;5;2;2;2;2;2;447;0;1;1;0
2020-10-30;2;2;2;2;3;2;4;2;5;2;2;2;2;2;392;0;1;1;0
2020-10-31;2;2;2;2;3;2;4;2;5;2;2;2;2;2;278;0;1;1;0
